meeting,date,duration,agenda,video,duration_minutes
Human Rights Commission,"November 20, 2023
                                                                                                                                      -
                                                                                               3:30 PM",02h 00m,,,120
Human Rights Commission,"October 16, 2023
                                                                                                                                      -
                                                                                               3:30 PM",02h 00m,,,120
Human Rights Commission,"September 18, 2023
                                                                                                                                      -
                                                                                               3:30 PM",02h 00m,,,120
Human Rights Commission,"August 21, 2023
                                                                                                                                      -
                                                                                               3:30 PM",02h 00m,,,120
Human Rights Commission,"May 15, 2023
                                                                                                                                      -
                                                                                               3:30 PM",02h 00m,,,120
Human Rights Commission,"April 17, 2023
                                                                                                                                      -
                                                                                               3:30 PM",02h 00m,,,120
Human Rights Commission,"March 20, 2023
                                                                                                                                      -
                                                                                               3:30 PM",02h 00m,,,120
Human Rights Commission,"February 20, 2023
                                                                                                                                      -
                                                                                               3:30 PM",02h 00m,,,120
Human Rights Commission,"January 23, 2023
                                                                                                                                      -
                                                                                               3:30 PM",02h 00m,,,120
Indian Affairs Commission,"November 21, 2023
                                                                                                                                      -
                                                                                               6:00 PM",02h 00m,,,120
Indian Affairs Commission,"October 17, 2023
                                                                                                                                      -
                                                                                               6:00 PM",02h 00m,,,120
Indian Affairs Commission,"September 19, 2023
                                                                                                                                      -
                                                                                               6:00 PM",02h 00m,,,120
Indian Affairs Commission,"August 15, 2023
                                                                                                                                      -
                                                                                               6:00 PM",02h 00m,,,120
Indian Affairs Commission,"June 20, 2023
                                                                                                                                      -
                                                                                               6:00 PM",02h 00m,,,120
Indian Affairs Commission,"May 16, 2023
                                                                                                                                      -
                                                                                               6:00 PM",02h 00m,,,120
Indian Affairs Commission,"April 18, 2023
                                                                                                                                      -
                                                                                               6:00 PM",02h 00m,,,120
Indian Affairs Commission,"March 21, 2023
                                                                                                                                      -
                                                                                               6:00 PM",02h 00m,,,120
Indian Affairs Commission,"February 21, 2023
                                                                                                                                      -
                                                                                               6:00 PM",02h 00m,,,120
Indian Affairs Commission,"January 17, 2023
                                                                                                                                      -
                                                                                               6:00 PM",02h 00m,,,120
Tulsa Metropolitan Area Planning Commission,"December 20, 2023
                                                                                                                                      -
                                                                                               1:00 PM",00h 40m,,,40
Tulsa Metropolitan Area Planning Commission,"October 18, 2023
                                                                                                                                      -
                                                                                               1:00 PM",05h 00m,,,300
Tulsa Metropolitan Area Planning Commission,"September 20, 2023
                                                                                                                                      -
                                                                                               1:00 PM",01h 18m,,,78
Tulsa Metropolitan Area Planning Commission,"September  6, 2023
                                                                                                                                      -
                                                                                               1:00 PM",05h 00m,,,300
Tulsa Metropolitan Area Planning Commission,"August  2, 2023
                                                                                                                                      -
                                                                                               3:58 PM",02h 08m,,,128
TMAPC7-19-23,"July 19, 2023
                                                                                                                                      -
                                                                                               4:03 PM",01h 37m,,,97
Tulsa Metropolitan Area Planning Commission,"June 21, 2023
                                                                                                                                      -
                                                                                               1:00 PM",00h 54m,,,54
Tulsa Metropolitan Planning Commission,"May 17, 2023
                                                                                                                                      -
                                                                                               1:18 PM",02h 44m,,,164
Tulsa Metropolitan Area Planning Commission,"May  3, 2023
                                                                                                                                      -
                                                                                               2:17 PM",01h 52m,,,112
Tulsa Metropolitan Area Planning Commission,"April 19, 2023
                                                                                                                                      -
                                                                                               1:00 PM",00h 02m,,,2
Tulsa Metropolitan Area Planning Commission,"April 19, 2023
                                                                                                                                      -
                                                                                               4:08 PM",01h 50m,,,110
Tulsa Metropolitan Area Planning Commission,"April  5, 2023
                                                                                                                                      -
                                                                                               1:00 PM",02h 53m,,,173
Tulsa Metropolitan Area Planning Commission,"March 22, 2023
                                                                                                                                      -
                                                                                               1:00 PM",01h 30m,,,90
Tulsa Metropolitan Area Planning Commission,"March  1, 2023
                                                                                                                                      -
                                                                                               1:00 PM",01h 33m,,,93
Tulsa Metropolitan Area Planning Commission,"February 15, 2023
                                                                                                                                      -
                                                                                               1:00 PM",02h 23m,,,143
Tulsa Metropolitan Area Planning Commission,"February  1, 2023
                                                                                                                                      -
                                                                                               1:00 PM",01h 21m,,,81
Tulsa Metropolitan Area Planning Commission,"January 18, 2023
                                                                                                                                      -
                                                                                               1:00 PM",05h 00m,,,300
Tulsa Metropolitan Area Planning Commission,"January  4, 2023
                                                                                                                                      -
                                                                                               1:00 PM",04h 00m,,,240
Council Tribal Nations Relations Committee,"October 17, 2023
                                                                                                                                      -
                                                                                              10:00 AM",03h 00m,,,180
Council Tribal Nations Relations Committee,"July 18, 2023
                                                                                                                                      -
                                                                                              10:00 AM",03h 00m,,,180
Council Tribal Nations Relations Committee,"April 18, 2023
                                                                                                                                      -
                                                                                              10:00 AM",03h 00m,,,180
Council Tribal Nations Relations Committee,"January 17, 2023
                                                                                                                                      -
                                                                                              10:00 AM",03h 00m,,,180
Tulsa Authority for Economic Opportunity/Tulsa Development Authority,"November 16, 2023
                                                                                                                                      -
                                                                                               9:00 AM",06h 00m,,,360
Tulsa Authority for Economic Opportunity/Tulsa Development Authority,"October 26, 2023
                                                                                                                                      -
                                                                                               9:00 AM",06h 00m,,,360
Tulsa Authority for Economic Opportunity/Tulsa Development Authority,"September 28, 2023
                                                                                                                                      -
                                                                                               9:00 AM",06h 00m,,,360
Tulsa Authority for Economic Opportunity/Tulsa Development Authority,"August 24, 2023
                                                                                                                                      -
                                                                                               9:00 AM",06h 00m,,,360
Tulsa Authority for Economic Opportunity/Tulsa Development Authority,"July 27, 2023
                                                                                                                                      -
                                                                                               9:00 AM",06h 00m,,,360
Tulsa Authority for Economic Opportunity/Tulsa Development Authority,"June 22, 2023
                                                                                                                                      -
                                                                                               9:00 AM",06h 00m,,,360
Tulsa Authority for Economic Opportunity/Tulsa Development Authority,"May 25, 2023
                                                                                                                                      -
                                                                                               9:00 AM",06h 00m,,,360
Tulsa Authority for Economic Opportunity/Tulsa Development Authority,"April 27, 2023
                                                                                                                                      -
                                                                                               9:00 AM",06h 00m,,,360
Tulsa Authority for Economic Opportunity/Tulsa Development Authority,"March 23, 2023
                                                                                                                                      -
                                                                                               9:00 AM",06h 00m,,,360
Tulsa Authority for Economic Opportunity/Tulsa Development Authority,"February 23, 2023
                                                                                                                                      -
                                                                                               9:00 AM",06h 00m,,,360
Tulsa Authority for Economic Opportunity/Tulsa Development Authority,"January 26, 2023
                                                                                                                                      -
                                                                                               9:00 AM",06h 00m,,,360
Tulsa Authority for the Recovery of Energy,"December  5, 2023
                                                                                                                                      -
                                                                                               3:30 PM",02h 00m,,,120
Tulsa Authority for the Recovery of Energy,"October 31, 2023
                                                                                                                                      -
                                                                                               3:30 PM",02h 00m,,,120
Tulsa Authority for the Recovery of Energy,"August 29, 2023
                                                                                                                                      -
                                                                                               3:30 PM",01h 59m,,,119
Tulsa Authority for the Recovery of Energy,"May 30, 2023
                                                                                                                                      -
                                                                                               3:30 PM",02h 00m,,,120
Tulsa Authority for the Recovery of Energy,"March 28, 2023
                                                                                                                                      -
                                                                                               3:30 PM",01h 18m,,,78
Mayor's Commission on the Status of Women,"December  1, 2023
                                                                                                                                      -
                                                                                              12:00 PM",02h 00m,,,120
Mayor's Commission on the Status of Women,"November  3, 2023
                                                                                                                                      -
                                                                                              12:00 PM",02h 00m,,,120
Mayor's Commission on the Status of Women,"October  6, 2023
                                                                                                                                      -
                                                                                              12:00 PM",02h 00m,,,120
Mayor's Commission on the Status of Women,"September  1, 2023
                                                                                                                                      -
                                                                                              12:00 PM",02h 00m,,,120
Mayor's Commission on the Status of Women,"August  4, 2023
                                                                                                                                      -
                                                                                              12:00 PM",02h 00m,,,120
Mayor's Commission on the Status of Women,"July  7, 2023
                                                                                                                                      -
                                                                                              12:00 PM",02h 00m,,,120
Mayor's Commission on the Status of Women,"June  2, 2023
                                                                                                                                      -
                                                                                              12:00 PM",02h 00m,,,120
Mayor's Commission on the Status of Women,"May  5, 2023
                                                                                                                                      -
                                                                                              12:00 PM",02h 00m,,,120
Mayor's Commission on the Status of Women,"March  3, 2023
                                                                                                                                      -
                                                                                              12:00 PM",02h 00m,,,120
Mayor's Commission on the Status of Women,"February  3, 2023
                                                                                                                                      -
                                                                                              12:00 PM",02h 00m,,,120
Mayor's Commission on the Status of Women,"January  6, 2023
                                                                                                                                      -
                                                                                              12:00 PM",02h 00m,,,120
U.S. Naturalization Ceremony,"November  9, 2023
                                                                                                                                      -
                                                                                              11:00 AM",02h 00m,,,120
U.S. Naturalization Ceremony,"October 12, 2023
                                                                                                                                      -
                                                                                              11:00 AM",01h 30m,,,90
U.S. Naturalization Ceremony,"September 14, 2023
                                                                                                                                      -
                                                                                              11:00 AM",02h 00m,,,120
U.S. Naturalization Ceremony,"July 13, 2023
                                                                                                                                      -
                                                                                              11:00 AM",02h 00m,,,120
Child Citizenship Ceremony 6-8-23,"June  8, 2023
                                                                                                                                      -
                                                                                              10:25 AM",00h 39m,,,39
U.S. Naturalization Ceremony,"May 11, 2023
                                                                                                                                      -
                                                                                              11:00 AM",02h 00m,,,120
U.S. Naturalization Ceremony,"March 30, 2023
                                                                                                                                      -
                                                                                               9:30 AM",00h 46m,,,46
Regular Council Meeting,"December 14, 2022
                                                                                                                                      -
                                                                                               5:00 PM",01h 16m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5620,,76
Regular Council Meeting,"December  7, 2022
                                                                                                                                      -
                                                                                               5:00 PM",01h 10m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5615,,70
Regular Council Meeting,"November 30, 2022
                                                                                                                                      -
                                                                                               5:00 PM",01h 03m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5609,,63
Regular Council Meeting,"November 23, 2022
                                                                                                                                      -
                                                                                               5:00 PM",04h 00m,,,240
Regular Council Meeting,"November 16, 2022
                                                                                                                                      -
                                                                                               5:00 PM",01h 32m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5596,,92
Regular Council Meeting,"November  2, 2022
                                                                                                                                      -
                                                                                               5:00 PM",03h 09m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5580,,189
Regular Council Meeting,"October 26, 2022
                                                                                                                                      -
                                                                                               5:00 PM",00h 50m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5576,,50
Regular Council Meeting,"October 19, 2022
                                                                                                                                      -
                                                                                               5:00 PM",01h 03m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5572,,63
Regular Council Meeting,"September 28, 2022
                                                                                                                                      -
                                                                                               5:00 PM",00h 21m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5111,,21
Regular Council Meeting,"September 21, 2022
                                                                                                                                      -
                                                                                               5:00 PM",00h 43m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4282,,43
Regular Council Meeting,"September 14, 2022
                                                                                                                                      -
                                                                                               5:04 PM",03h 18m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4244,,198
Regular Council Meeting,"August 31, 2022
                                                                                                                                      -
                                                                                               5:00 PM",00h 51m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4230,,51
Regular Council Meeting,"August 24, 2022
                                                                                                                                      -
                                                                                               5:00 PM",02h 31m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4222,,151
Regular Council Meeting,"August 10, 2022
                                                                                                                                      -
                                                                                               5:08 PM",02h 05m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4139,,125
Regular Council Meeting,"August  3, 2022
                                                                                                                                      -
                                                                                               5:00 PM",01h 59m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4132,,119
Regular Council Meeting,"July 20, 2022
                                                                                                                                      -
                                                                                               5:00 PM",00h 30m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4112,,30
Regular Council Meeting,"July 13, 2022
                                                                                                                                      -
                                                                                               5:00 PM",00h 56m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4087,,56
Regular Council Meeting,"June 22, 2022
                                                                                                                                      -
                                                                                               5:00 PM",02h 59m,,,179
Regular Council Meeting,"June 22, 2022
                                                                                                                                      -
                                                                                               5:04 PM",01h 36m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4042,,96
Regular Council Meeting,"June 15, 2022
                                                                                                                                      -
                                                                                               5:00 PM",03h 16m,,,196
Regular Council Meeting,"June 15, 2022
                                                                                                                                      -
                                                                                               5:11 PM",03h 05m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4037,,185
Regular Council Meeting,"June  8, 2022
                                                                                                                                      -
                                                                                               5:00 PM",05h 01m,,,301
Regular Council Meeting,"June  8, 2022
                                                                                                                                      -
                                                                                               5:09 PM",03h 40m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4030,,220
Regular Council Meeting,"May 25, 2022
                                                                                                                                      -
                                                                                               5:00 PM",02h 13m,,,133
Regular Council Meeting,"May 25, 2022
                                                                                                                                      -
                                                                                               5:04 PM",02h 07m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4022,,127
Regular Council Meeting,"May 18, 2022
                                                                                                                                      -
                                                                                               5:00 PM",01h 32m,,,92
Regular Council Meeting,"May 18, 2022
                                                                                                                                      -
                                                                                               5:05 PM",01h 26m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4018,,86
Regular Council Meeting,"May 11, 2022
                                                                                                                                      -
                                                                                               5:00 PM",02h 36m,,,156
Regular Council Meeting,"May 11, 2022
                                                                                                                                      -
                                                                                               5:14 PM",02h 31m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4011,,151
Regular Council Meeting,"April 27, 2022
                                                                                                                                      -
                                                                                               5:00 PM",01h 29m,,,89
Regular Council Meeting,"April 27, 2022
                                                                                                                                      -
                                                                                               5:09 PM",01h 29m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4000,,89
Regular Council Meeting,"April 20, 2022
                                                                                                                                      -
                                                                                               5:00 PM",01h 14m,,,74
Regular Council Meeting,"April 20, 2022
                                                                                                                                      -
                                                                                               5:07 PM",01h 06m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=3996,,66
Regular Council Meeting,"April  6, 2022
                                                                                                                                      -
                                                                                               5:00 PM",01h 21m,,,81
Regular Council Meeting,"April  6, 2022
                                                                                                                                      -
                                                                                               5:03 PM",01h 14m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=3980,,74
Regular Council Meeting,"April  6, 2022
                                                                                                                                      -
                                                                                               5:03 PM",01h 14m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=3985,,74
Regular Council Meeting,"March 30, 2022
                                                                                                                                      -
                                                                                               5:00 PM",02h 54m,,,174
Regular Council Meeting,"March 30, 2022
                                                                                                                                      -
                                                                                               5:08 PM",02h 39m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=3976,,159
Regular Council Meeting,"March 23, 2022
                                                                                                                                      -
                                                                                               5:00 PM",01h 12m,,,72
Regular Council Meeting,"March 23, 2022
                                                                                                                                      -
                                                                                               5:05 PM",01h 11m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=3972,,71
Regular Council Meeting,"March  9, 2022
                                                                                                                                      -
                                                                                               5:00 PM",00h 45m,,,45
Regular Council Meeting,"March  9, 2022
                                                                                                                                      -
                                                                                               5:05 PM",00h 37m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=3960,,37
Special Meeting,"March  2, 2022
                                                                                                                                      -
                                                                                               5:00 PM",01h 24m,,,84
Regular Council Meeting,"March  2, 2022
                                                                                                                                      -
                                                                                               5:00 PM",00h 32m,,,32
Regular Council Meeting,"March  2, 2022
                                                                                                                                      -
                                                                                               5:05 PM",00h 27m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=3955,,27
Regular Council Meeting,"February 16, 2022
                                                                                                                                      -
                                                                                               5:00 PM",04h 00m,,,240
Regular Council Meeting,"February 16, 2022
                                                                                                                                      -
                                                                                               5:10 PM",00h 25m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4044,,25
Regular Council Meeting,"February  9, 2022
                                                                                                                                      -
                                                                                               5:00 PM",02h 13m,,,133
Regular Council Meeting,"February  9, 2022
                                                                                                                                      -
                                                                                               5:05 PM",02h 08m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4045,,128
Regular Council Meeting,"January 26, 2022
                                                                                                                                      -
                                                                                               5:00 PM",00h 30m,,,30
Regular Council Meeting,"January 26, 2022
                                                                                                                                      -
                                                                                               5:00 PM",00h 30m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4226,,30
Regular Council Meeting,"January 19, 2022
                                                                                                                                      -
                                                                                               5:00 PM",00h 38m,,,38
Regular Council Meeting,"January 19, 2022
                                                                                                                                      -
                                                                                               5:00 PM",00h 38m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4225,,38
Regular Council Meeting,"January 12, 2022
                                                                                                                                      -
                                                                                               5:00 PM",01h 31m,,,91
Regular Council Meeting,"January 12, 2022
                                                                                                                                      -
                                                                                               5:04 PM",01h 27m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4046,,87
Council Budget & Special Projects Committee,"November 16, 2022
                                                                                                                                      -
                                                                                               1:00 PM",01h 27m,,,87
Council Budget & Special Projects Committee,"September 14, 2022
                                                                                                                                      -
                                                                                               1:00 PM",00h 58m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4242,,58
Council Budget & Special Projects Committee,"August  3, 2022
                                                                                                                                      -
                                                                                               1:00 PM",00h 55m,,,55
Council Budget & Special Projects Committee,"June 15, 2022
                                                                                                                                      -
                                                                                               1:00 PM",01h 46m,,,106
Council Budget & Special Projects Committee,"June 15, 2022
                                                                                                                                      -
                                                                                               1:01 PM",01h 44m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4036,,104
Council Budget & Special Projects Committee,"June  8, 2022
                                                                                                                                      -
                                                                                               1:00 PM",03h 48m,,,228
Council Budget & Special Projects Committee,"June  8, 2022
                                                                                                                                      -
                                                                                               1:06 PM",01h 55m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=4029,,115
Council Budget & Special Projects Committee,"May 25, 2022
                                                                                                                                      -
                                                                                               1:00 PM",01h 30m,,,90
